iter	Passed	Remaining
0	147	147752
1	148	74210
2	149	49593
3	149	37266
4	150	29870
5	150	24933
6	150	21406
7	151	18762
8	152	16762
9	152	15117
10	153	13776
11	153	12652
12	154	11700
13	154	10889
14	155	10191
15	155	9576
16	156	9031
17	156	8545
18	157	8113
19	157	7722
20	158	7369
21	158	7051
22	159	6755
23	159	6484
24	159	6235
25	160	6005
26	160	5791
27	161	5593
28	161	5409
29	161	5237
30	162	5076
31	162	4925
32	163	4788
33	163	4657
34	164	4530
35	164	4412
36	165	4301
37	165	4196
38	166	4094
39	166	3998
40	167	3906
41	167	3819
42	167	3737
43	168	3663
44	169	3594
45	169	3521
46	170	3452
47	170	3385
48	171	3322
49	171	3261
50	172	3201
51	172	3144
52	172	3089
53	173	3035
54	173	2984
55	174	2934
56	174	2888
57	175	2842
58	175	2798
59	175	2755
60	176	2713
61	176	2673
62	177	2634
63	177	2596
64	177	2560
65	178	2525
66	178	2490
67	179	2456
68	179	2424
69	180	2392
70	180	2362
71	181	2335
72	181	2308
73	182	2280
74	182	2254
75	183	2228
76	183	2202
77	184	2176
78	184	2151
79	184	2127
80	185	2104
81	185	2081
82	186	2056
83	186	2034
84	187	2013
85	187	1993
86	188	1973
87	188	1955
88	189	1936
89	189	1917
90	190	1898
91	190	1879
92	190	1861
93	191	1843
94	191	1825
95	192	1808
96	192	1792
97	193	1777
98	193	1761
99	194	1746
100	194	1730
101	194	1715
102	195	1701
103	196	1689
104	196	1675
105	196	1661
106	197	1649
107	198	1636
108	198	1623
109	199	1610
110	199	1598
111	199	1585
112	200	1572
113	200	1560
114	201	1549
115	201	1537
116	202	1525
117	202	1514
118	203	1503
119	203	1492
120	203	1481
121	204	1470
122	204	1459
123	205	1448
124	205	1438
125	205	1428
126	206	1419
127	207	1410
128	207	1400
129	207	1391
130	208	1381
131	208	1372
132	209	1363
133	209	1355
134	210	1347
135	210	1338
136	211	1330
137	211	1322
138	212	1314
139	212	1305
140	212	1297
141	213	1288
142	213	1280
143	214	1274
144	214	1266
145	215	1259
146	215	1252
147	216	1244
148	216	1238
149	217	1231
150	217	1224
151	218	1216
152	218	1209
153	218	1202
154	219	1195
155	219	1188
156	220	1182
157	220	1175
158	221	1169
159	221	1163
160	221	1156
161	222	1150
162	222	1144
163	223	1139
164	224	1133
165	224	1127
166	224	1121
167	225	1116
168	225	1110
169	226	1104
170	226	1098
171	227	1094
172	227	1088
173	228	1083
174	228	1077
175	229	1073
176	229	1067
177	230	1062
178	230	1057
179	230	1051
180	231	1046
181	231	1041
182	232	1036
183	232	1031
184	232	1026
185	233	1021
186	233	1016
187	234	1011
188	234	1006
189	235	1002
190	235	997
191	235	992
192	236	987
193	236	983
194	237	979
195	237	975
196	238	971
197	238	967
198	239	963
199	239	958
200	240	954
201	240	950
202	241	946
203	241	942
204	241	938
205	242	934
206	242	930
207	243	926
208	243	922
209	244	919
210	244	915
211	245	911
212	245	907
213	246	903
214	246	900
215	246	896
216	247	892
217	247	889
218	248	885
219	248	881
220	249	878
221	249	874
222	249	871
223	250	867
224	250	864
225	251	861
226	252	858
227	252	855
228	252	851
229	253	848
230	253	845
231	254	841
232	254	838
233	255	835
234	255	832
235	256	828
236	256	825
237	256	822
238	257	818
239	257	815
240	258	812
241	258	809
242	258	806
243	259	803
244	259	800
245	260	797
246	260	794
247	260	791
248	261	788
249	261	785
250	262	782
251	262	779
252	262	776
253	263	773
254	263	770
255	264	767
256	264	765
257	265	763
258	266	761
259	266	758
260	266	755
261	267	753
262	267	750
263	268	747
264	268	745
265	269	742
266	269	739
267	269	737
268	270	734
269	270	732
270	271	729
271	271	726
272	271	724
273	272	721
274	273	719
275	273	717
276	273	714
277	274	712
278	274	709
279	275	707
280	275	704
281	276	702
282	276	700
283	276	698
284	277	695
285	277	693
286	278	691
287	278	689
288	279	687
289	279	685
290	280	682
291	280	680
292	281	678
293	281	676
294	282	674
295	282	671
296	282	669
297	283	667
298	283	665
299	284	662
300	284	660
301	284	658
302	285	656
303	285	654
304	286	652
305	286	650
306	287	647
307	287	645
308	287	643
309	288	641
310	288	639
311	289	637
312	289	635
313	289	633
314	290	631
315	290	629
316	291	627
317	291	625
318	292	623
319	292	621
320	293	620
321	293	618
322	294	616
323	294	614
324	295	612
325	295	611
326	296	609
327	296	607
328	296	605
329	297	603
330	297	601
331	298	599
332	298	598
333	298	596
334	299	594
335	299	592
336	300	590
337	300	588
338	301	587
339	301	585
340	302	583
341	302	581
342	302	580
343	303	578
344	303	576
345	304	575
346	304	573
347	305	571
348	305	570
349	306	568
350	306	566
351	306	564
352	307	563
353	307	561
354	308	559
355	308	558
356	309	556
357	309	555
358	310	553
359	310	552
360	310	550
361	311	548
362	311	547
363	312	545
364	312	544
365	313	542
366	313	540
367	313	539
368	314	537
369	314	535
370	315	534
371	315	532
372	315	531
373	316	529
374	316	527
375	317	526
376	317	524
377	318	523
378	318	522
379	319	521
380	319	519
381	320	518
382	320	516
383	321	515
384	321	513
385	322	513
386	323	511
387	323	510
388	323	508
389	324	507
390	324	505
391	325	504
392	325	503
393	326	501
394	326	500
395	327	498
396	327	497
397	327	496
398	328	494
399	328	493
400	329	492
